"Statistic Label","Year","Type of Urban or Rural Area","Small Area","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","087055003","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","077127003","Number","206"
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","257051019/01","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","268033003","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","267141011","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","127018014","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","167065014","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","228026002","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","137053002/137053003/137053005","Number","213"
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","067212020","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","267122004","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","137026002","Number",""
"Population Usually Resident and Present in the State","2022","Rural areas with moderate urban influence","267120006","Number",""
